tweet_id	reply_id	Sarcasm	Contains_Hate
1228409143637291019	1228409143637291019	0	0
1228409143637291019	1228409259743961089	0	0
1228409143637291019	1228409901384445953	0	0
1228409143637291019	1228985488788291591	0	0
1228409143637291019	1228631803738624001	0	0
1228409143637291019	1228414720677490695	0	0
1228409143637291019	1229875091695116289	0	0
1228409143637291019	1228409354900123649	0	0
1228409143637291019	1228909526780432384	0	0
1228409143637291019	1229971287474393090	0	0
1227476392511713285	1227535013513715713	0	0
1227476392511713285	1227516153179840512	1	0
1226615186422980608	1226615186422980608	0	0
1227261397110648833	1227261397110648833	1	0
1227261397110648833	1229961813703483394	0	0
1227297932166270976	1227297932166270976	0	0
1227297932166270976	1227333211698667520	0	0
1227526867722350593	1227526867722350593	0	0
1227526867722350593	1227529150983962624	0	0
1227526867722350593	1227543785174904833	0	0
1227526867722350593	1227531586553483264	0	0
1227526867722350593	1227531798755803137	0	0
1227526867722350593	1227585037249454080	0	0
1227526867722350593	1229916198634127361	0	0
1227526867722350593	1227532693442908160	0	0
1227526867722350593	1227923468609560582	0	0
1227526867722350593	1227555535106560001	1	0
1227526867722350593	1227558839668572160	0	0
1227594571011514370	1227594571011514370	0	0
1227594571011514370	1227712202691530752	0	0
1227615117988200448	1227615117988200448	0	0
1227615117988200448	1227619606229061637	0	1
1227615117988200448	1227725394557751296	0	0
1228154663901388804	1228154663901388804	0	0
1228154663901388804	1228158527455186944	0	0
1228154663901388804	1228199004560740353	0	0
1228154663901388804	1228161209741893633	0	0
1228154663901388804	1228161828858912770	0	0
1228154663901388804	1228291693159514112	0	0
1228573338961874944	1228573338961874944	0	0
1228573338961874944	1229143466917158912	0	0
1224584105729327104	1224584105729327104	0	1
1224584105729327104	1224589134410452992	0	0
1223327873995427841	1223334989561057280	0	0
1223327873995427841	1223328227562868744	0	0
1223678308065468417	1223678308065468417	1	0
1223678308065468417	1223679182959468545	0	0
1223678308065468417	1223679513382572032	0	0
1223678308065468417	1223740599200813056	0	0
1223678308065468417	1223714067904368640	0	0
1223682878518779905	1223731606298427393	0	0
1223682878518779905	1224039420271243264	1	0
1223688918664695808	1223688918664695808	1	0
1223688918664695808	1223714601830952960	0	0
1223688918664695808	1223715353236103168	0	0
1223726528061636610	1223726528061636610	1	0
1223726528061636610	1223746838072786944	1	1
1223726528061636610	1223959938709499904	1	0
1223726528061636610	1223866999559860225	0	0
1224322902457298946	1224322902457298946	1	0
1224322902457298946	1224356169055121408	0	0
1224322902457298946	1224348848434360320	0	0
1224322902457298946	1228837917914812417	0	0
1224322902457298946	1228958352845221888	0	0
1224322902457298946	1228964924107509761	0	0
1223348094407974914	1223348094407974914	0	0
1223348094407974914	1223350932810928128	0	1
1223348094407974914	1223348835793145858	0	0
1223348094407974914	1223350836144766977	0	0
