tweetID	label	has_reply	sarcasm	Contains_Hate	number_of_replies	sarcasm_mean	hate_mean
1228409143637291019	TRUE	1	0	0	10	0	0
1227476392511713285	FALSE	1	0	0	2	0.5	0
1226615186422980608	FALSE	1	0	0	1	0	0
1227261397110648833	FALSE	1	0	0	2	0.5	0
1227297932166270976	FALSE	1	0	0	2	0	0
1227526867722350593	FALSE	1	0	0	11	0.09090909091	0
1227594571011514370	FALSE	1	0	0	2	0	0
1227615117988200448	FALSE	1	0	0	3	0	0.3333333333
1228154663901388804	FALSE	1	0	0	6	0	0
1228573338961874944	FALSE	1	0	0	2	0	0
1224584105729327104	FALSE	1	0	0	2	0	0.5
1223327873995427841	FALSE	1	0	0	2	0	0
1223678308065468417	FALSE	1	1	0	5	0.2	0
1223682878518779905	FALSE	1	1	0	2	0.5	0
1223688918664695808	FALSE	1	1	0	3	0.3333333333	0
1223726528061636610	FALSE	1	1	0	4	0.75	0.25
1224322902457298946	FALSE	1	1	0	6	0.1666666667	0
1223348094407974914	FALSE	1	0	0	34	0.1176470588	0.02941176471
1223828229619953666	FALSE	1	1	0	18	0.05555555556	0
1223948263386165248	FALSE	1	0	0	1	0	0
1224062647496253442	FALSE	1	0	0	10	0.3	0
1224098807757070336	FALSE	1	1	1	2	0.5	0
1224434588497272832	FALSE	1	1	0	1	0	0
1226906925893406720	FALSE	1	0	0	52	0.01923076923	0
1222637988657737728	FALSE	1	0	0	4	0	0
1222642761003937792	FALSE	1	0	0	3	0	0
1222662184058134528	FALSE	1	0	0	14	0.1428571429	0
1222662509129322497	FALSE	1	0	0	24	0.125	0.08333333333
1222993763254931459	FALSE	1	0	0	2	0	0
1227565288864047115	FALSE	1	0	0	2	0	0
1244397384416755721	FALSE	1	0	0	50	0.02	0
1223672259392495616	FALSE	1	0	0	16	0.0625	0.0625
1234195486317449216	FALSE	1	0	0	2	0	0
1233111310377852929	FALSE	1	0	0	5	0	0
1222221960744185856	FALSE	1	0	0	2	0	0
1222114504064061440	TRUE	1	0	0	1	0	0
1228527747208749056	FALSE	1	0	0	2	0	0
1223344879465529344	FALSE	1	0	0	2	0	0
1226854874857472001	FALSE	1	0	0	3	0.3333333333	0
1226921929581506563	FALSE	1	0	0	5	0	0.2
1227198040127217666	FALSE	1	0	0	2	0.5	0
1227238786091761666	FALSE	1	0	0	5	0	0
1227283544390529024	FALSE	1	0	0	22	0.1363636364	0.1363636364
1222802038209290240	FALSE	1	0	0	4	0.25	0
1227440094929465350	FALSE	1	0	0	2	0	0
1230586229449797632	TRUE	1	0	0	2	0.5	0.5
1230597435057156096	TRUE	1	0	0	2	0.5	0
1230167283928047616	TRUE	1	1	1	11	0.2727272727	0.2727272727
1224799962728468480	FALSE	1	0	0	12	0	0
1230975091967758342	FALSE	1	1	1	6	0	0.1666666667
1224963851457847301	FALSE	1	0	0	6	0	0
1225070714941661185	FALSE	1	0	0	5	0	0.2
1229655121153462272	TRUE	1	0	0	3	0	0
1230626530499448834	FALSE	1	0	0	6	0.1666666667	0.3333333333
1230635003886915584	FALSE	1	0	0	11	0.09090909091	0.09090909091
1230866262265356290	FALSE	1	0	0	25	0.04	0
1230901611201024009	FALSE	1	0	0	3	0.3333333333	0
1228689052980973569	FALSE	1	0	0	2	0	0
1237832848851296256	FALSE	1	0	0	3	0	0.3333333333
1234478784407052288	FALSE	1	0	0	3	0.3333333333	0.3333333333
1234543584948428803	FALSE	1	0	0	2	0	0
1234559566203019273	FALSE	1	0	0	2	0	0.5
1234573265164783616	FALSE	1	0	0	30	0.1	0.1333333333
1234573457561673730	FALSE	1	0	0	158	0.08227848101	0.1898734177
1234573523508748291	FALSE	1	0	0	8	0.125	0.375
1234490120541212672	FALSE	1	0	0	18	0.1111111111	0.1111111111
1234521492643307526	FALSE	1	0	0	3	0.3333333333	0
1234485229068226562	FALSE	1	1	0	2	0.5	0
1234730049284141056	FALSE	1	0	0	2	0	0.5
1231269100464332814	TRUE	1	0	0	5	0	0
1231662568508469250	TRUE	1	0	0	2	0	0
1232768209415262210	FALSE	1	0	0	19	0	0
1232770594074169345	TRUE	1	0	0	3	0	0
1232767568433250304	FALSE	1	0	0	3	0	0
1232771875039797253	TRUE	1	0	0	43	0.04651162791	0.09302325581
1232767736712851456	FALSE	1	0	0	2	0	0
1233832631218950145	FALSE	1	0	0	9	0	0
